timestamp,utc,eth_open,eth_high,eth_low,eth_close,upper_wick_usd,upper_wick_pct,price_change_1h_pct,price_change_3h_pct,price_change_6h_pct,price_change_24h_pct,oi_close_usd,oi_change_1h_usd,oi_change_1h_pct,oi_change_3h_usd,oi_change_3h_pct,oi_change_6h_usd,oi_change_6h_pct,oi_change_24h_usd,oi_change_24h_pct,short_liquidations_usd,long_liquidations_usd,short_liq_3h_usd,long_liq_3h_usd,short_liq_6h_usd,long_liq_6h_usd,short_liq_24h_usd,long_liq_24h_usd,ls_ratio,ls_change_1h,ls_change_3h,ls_change_6h,ls_change_24h,funding_rate,funding_change_1h,funding_change_3h,funding_change_6h,funding_change_24h,oi_contracts,liq_contracts,funding_contracts,ls_contracts
1786824000,2026-08-15 20:00,1883.66,1883.67,1881.82,1882.44,0.009999999999990905,0.0005312254308233413,,,,,11286613655.803682,,,,,,,,,572.26176,10556.77259,,,,,,,2.3031502860203092,,,,,0.00318326234477468,,,,,18.0,2.0,13.0,4.0
1786827600,2026-08-15 21:00,1882.43,1884.58,1882.43,1884.14,0.4399999999998272,0.023352829407572002,0.09030832324005256,,,,11277556827.654636,-9056828.149045944,-0.08024398127944105,,,,,,,3562.9087400000003,0.0,,,,,,,2.3032128835827788,6.259756246951298e-05,,,,0.0031240003562807575,-5.9261988493922255e-05,,,,21.0,1.0,15.0,4.0
1786831200,2026-08-15 22:00,1884.14,1884.73,1883.26,1883.71,0.5899999999999181,0.03132116939443535,-0.022822083284684984,,,,11296571135.153992,19014307.499355316,0.16860307414039138,,,,,,,19769.53645,8819.530219999999,23904.70695,19376.30281,,,,,2.304590765412073,0.001377881829294214,,,,0.0032462956136877813,0.00012229525740702378,,,,19.0,1.0,14.0,4.0
1786834800,2026-08-15 23:00,1883.72,1883.72,1880.98,1881.73,0.0,0.0,-0.10511172101862909,-0.03771700558849346,,,11268905230.485044,-27665904.66894722,-0.24490532868733259,-17708425.318637848,-0.15689759443065554,,,,,0.0,95842.82181000001,23332.44519,104662.35203000001,,,,,2.306467120382555,0.001876354970482108,0.003316834362245835,,,0.0033644801315786494,0.00011818451789086812,0.00018121778680396964,,,18.0,3.0,14.0,4.0
1786838400,2026-08-16 00:00,1881.73,1882.38,1880.65,1881.54,0.650000000000091,0.0345461696270125,-0.01009709150622324,-0.137993991953896,,,11255058148.535711,-13847081.94933319,-0.12287867957105159,-22498679.118925095,-0.19949958543994395,,,,,4086.9302800000005,5215.96068,23856.46673,109878.31271000001,,,,,2.3065860788830532,0.00011895850049814527,0.0033731953002744675,,,-0.00020564055377374414,-0.0035701206853523937,-0.003329640910054502,,,18.0,2.0,14.0,4.0
1786842000,2026-08-16 01:00,1881.54,1881.54,1876.01,1879.7,0.0,0.0,-0.0977922340210635,-0.2128777784266151,,,11252766841.531754,-2291307.0039577484,-0.02035802013387064,-43804293.62223816,-0.38776627968041416,,,,,6881.96845,225218.80497000003,10968.89873,326277.58746,34873.60568,345653.89027000003,,,2.3112850726235403,0.004698993740487101,0.006694307211467354,,,0.0013191533470300893,0.0015247939008038334,-0.001927142266657692,,,24.0,4.0,16.0,4.0
1786845600,2026-08-16 02:00,1879.7,1884.43,1878.21,1882.77,1.6600000000000819,0.08816796528519585,0.16332393467042275,0.055268290349835714,0.01753043921718234,,11204952335.221115,-47814506.31063843,-0.42491333006354026,-63952895.26392937,-0.5675164885664467,-81661320.58256721,-0.7235236632785441,,,31599.48591,46529.30802,42568.384640000004,276964.07367,65900.82983,381626.4257,,,2.333465213860516,0.022180141236975537,0.026998093477960783,0.030314927840206618,,0.0018606463997584439,0.0005414930527283545,-0.0015038337318202056,-0.001322615945016236,,22.0,4.0,14.0,4.0
1786849200,2026-08-16 03:00,1882.77,1883.27,1881.83,1882.15,0.5,0.02656536407831469,-0.03293020390169223,0.032420251496121655,-0.10561847845701536,,11199730890.527672,-5221444.693443298,-0.04659943690282784,-55327258.008039474,-0.49157682952742077,-77825937.12696457,-0.6900957212303387,,,2271.76297,4035.339920000001,40753.21733,275783.45291000005,64609.68406,385661.76562,,,2.3214760555308973,-0.011989158329618554,0.014889976647844083,0.01826317194811855,,0.0014763038108890469,-0.000384342588869397,0.001681944364662791,-0.0016476965453917107,,20.0,2.0,15.0,4.0
1786852800,2026-08-16 04:00,1882.14,1883.6,1879.59,1880.76,1.459999999999809,0.0776281928581961,-0.07385171213772017,0.05639197744320612,-0.1566058469722009,,11181263944.07677,-18466946.45090103,-0.1648874123084485,-71502897.45498276,-0.6354250333445068,-115307191.07722092,-1.020727349012963,,,4837.314719999999,18.8076,38708.5636,50583.455539999995,49677.46233,376861.043,,,2.3243467826648194,0.002870727133922113,0.013061710041279095,0.01975601725274645,,0.0010054630067810695,-0.0004708408041079774,-0.00031369034024901986,-0.002240832606906712,,19.0,2.0,15.0,4.0
1786856400,2026-08-16 05:00,1880.76,1881.16,1878.0,1879.01,0.40000000000009095,0.02128780581264022,-0.09304749143963079,-0.1997057526941682,-0.14454783629957685,,11236704868.44035,55440924.3635788,0.4958377213959643,31752533.219234467,0.2833794582010408,-32200362.0446949,-0.285745255515907,,,0.0,494.23362999999995,7109.07769,4548.381150000001,49677.46233,281512.45482000004,,,2.32170612848674,-0.002640654178079238,-0.01175908537377568,0.015239008104185103,,0.001745342331830108,0.0007398793250490386,-0.0001153040679283358,-0.0016191377997485414,,23.0,2.0,16.0,4.0
1786860000,2026-08-16 06:00,1879.01,1880.84,1878.0,1879.8,1.0399999999999636,0.05532503457814468,0.04204341647995293,-0.1248572111680863,-0.09247743869383639,,11147306291.590744,-89398576.84960556,-0.7955942413393122,-52424598.936927795,-0.4680880232690826,-107751856.94496727,-0.9573638405323196,,,0.0,27407.9897,4837.314719999999,27921.030929999997,45590.53205,303704.48384,,,2.335677973663408,0.01397184517666794,0.014201918132510816,0.0290918947803549,,0.002495006201614295,0.0007496638697841868,0.001018702390725248,0.002700646755388039,,19.0,3.0,14.0,4.0
1786863600,2026-08-16 07:00,1879.81,1880.95,1878.88,1880.73,0.22000000000002728,0.011697585512010085,0.04947334822853834,-0.0015950998532493627,0.05479597808160731,,11146985311.509285,-320980.0814590454,-0.0028794407640990805,-34278632.56748581,-0.30657207216403093,-105781530.02246857,-0.9400490698167646,,,10518.93417,1062.61245,10518.93417,28964.835779999998,49227.49777,79548.29131999999,,,2.3425274381829437,0.0068494645195356085,0.01818065551812431,0.031242365559403407,,0.002668883683406768,0.00017387748179247334,0.0016634206766256987,0.0013497303363766788,,18.0,2.0,14.0,4.0
